RecipeId,name,ingredients,instructions
48,Boston Cream Pie,"margarine, cake flour, baking powder, salt, sugar, vanilla, eggs, milk, sugar, cornstarch, milk, flour, salt, vanilla, butter, vanilla","Beat egg whites until soft peaks form. Gradually add 1/2 cup sugar, beating until very stiff peaks form. Sift together remaining dry ingredients into another bowl. Add oil, half the  milk and vanilla. Beat 1 minute at medium speed. Add remaining milk and egg yolks. Beat 1 minute, scrape bowl. Gently fold in egg whites. Bake in two greased 9x 1.5-inch round pans in 350°F oven for 25 minutes. Cool 10 minutes and then remove from pans. Cool completely. Fill with cream filling. Frost with Chocolate Glaze. French Custard Filling: In saucepan, combine sugar, flour, cornstarch and salt.  Gradually stir in milk. Cook and stir until mixture thickens and boils; cook and stir 2-3 minutes longer. Stir a little of hot mixture into egg yolk; return to hot mixture. Cook and stir until mixture just boils. Add vanilla; cool. Beat until smooth; fold in whipped cream. Chocolate Glaze: Melt chocolate and butter over low heat, stirring constantly. Remove from heat. Stir in confectioners' sugar and vanilla until crumbly. Blend in 3 tablespoons boiling water. Add enough water (about 2 teaspoons), a teaspoon at a time, to form medium glaze of pouring consistency. Pour quickly over top of cake; spread glaze evenly over top and sides."
49,Chicken Breasts Lombardi,"fresh mushrooms, butter, boneless skinless chicken breast halves, flour, butter, marsala, chicken broth, salt, mozzarella cheese, parmesan cheese, green onion","Cook mushrooms in 2 tbsp butter in a large  skillet, stirring constantly, just   until tender. Remove from heat; set aside.  Cut each chicken breast half in  half lengthwise.   Place each piece of chicken  between two sheets of wax paper; flatten to  1/8\, , , , , , ,  baking dish,  overlapping  edges. Repeat procedure with  remaining chicken and butter. Reserve pan  drippings in skillet.  Sprinkle  reserved mushrooms over chicken. Add wine and  broth to skillet.  Bring to a boil;  reduce heat, and simmer,  uncovered, 10  minutes, stirring occasionally. Stir in salt and pepper. Pour  sauce over  chicken. Combine cheeses and green  onions; sprinkle over chicken. Bake  uncovered at 450 for 12 to 14 minutes. Broil 5 1/2\"
50,Biscotti Di Prato,"flour, sugar, baking powder, salt, eggs, vanilla, egg, water","EGG WASH 1 Egg, large 1 tsp Water In the bowl of an electric mixer fitted with the paddle attachment blend the flour, the sugar, the baking powder, and the salt until the mixture is combined well. In a small bowl, whisk together the whole eggs, the yolks, the vanilla and the almond extract, add the mixture to the flour mixture, beating until a dough is formed, and stir in the almonds. Turn the dough out onto a lightly floured surface, knead it several times, and divide it into fourths. Working on 2 large buttered and floured baking sheets, with floured hands form each piece of dough into a flattish log 11 inches long and 2 inches wide, arrange the logs at least 3 inches apart on the sheets, and brush them with the egg wash. Bake the logs in a preheated 350F oven for 35 minutes and let them cool on the baking sheets on racks for 10 minutes. On a cutting board, cut the logs crosswise on the diagonal into 3/4\, , 
"
51,Chai Tea,"water, black tea, cinnamon stick, milk, sugar, honey, cardamom pods, black peppercorns, star anise, whole cloves, whole coriander seed","Bring water and spices to boil in saucepan. Reduce heat, cover and simmer 20  minutes. Add teabags and milk, simmer 3-5 minutes. Add sweetner to taste. Serves 4. (The tea becomes spicier as it sits, may want to strain out spices)."
52,Cafe Cappuccino,"instant coffee, sugar, nonfat dry milk solid",Stir ingredients together. Process in a blender until powdered. Use 2 Tbsp.  of mixture for each cup of hot water.
53,Jimmy G's Carrot Cake,"all-purpose flour, sugar, baking powder, baking soda, five-spice seasoning, carrots, walnuts, pineapple, coconut, raisins, applesauce, eggs","Grease and lightly flour 2 9x1 1/2-inch round baking pans or grease one 13x9x2-inch baking pan. Set pan(s) aside. In a large mixing bowl combine flour, sugar, baking powder, baking soda, and 5 Spice Seasoning. Add carrots, oil, eggs, coconut.  Beat with electric mixer till combined. Add walnuts, and raisins and fold into batter. Pour batter into prepared baking pan(s). Bake in a 350~F oven for 30 - 35 minutes for round pans or 35 - 40 minutes for 13x9-inch pan or until a wooden toothpick comes out clean. Cool layer cakes on wire racks for 10 minutes. Remove from pans. Cool thoroughly on wire racks. Or, place 13x9-inch can in pan on a wire rack; cool thoroughly. Frost with Cream Cheese Frosting. Cover and store in refrigerator."
54,Carrot Cake,"carrots, eggs, white sugar, all-purpose flour, baking powder, baking soda, cinnamon, salt, nutmeg, golden raisin, confectioners' sugar, cream cheese, light corn syrup, vanilla extract","Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds. Sift together flour, baking powder, baking soda, salt and spices. Add the  carrots and raisins. Pour egg mixture into dry ingredients, and mix well. Pour  batter into well greased 10 inch tube or Bundt pan. Bake at 350 degrees F (175  degrees C) oven for 45 to 50 minutes. Cool cake on wire rack, and then  refrigerate until completely cooled. To make Cream Cheese Glaze: Blend together  confectioners' sugar, cream cheese, corn syrup, and vanilla. Spread over cooled  cake."
55,Betty Crocker's Southwestern Guacamole Dip,"avocados, tomatoes, salt, garlic, lime juice",Peel and mash avocados until lumpy. Add remaining ingredients and chill for 1 - 2 hours.
56,Buttermilk Pie,"butter, margarine, sugar, flour, eggs, salt, vanilla, buttermilk","Preheat oven to 400°F. Beat the butter and sugar together until light. Add the eggs and beat; then beat in vanilla. Sift the dry ingredients together and add to the batter alternatively with the buttermilk; beat until smooth. Pour into a deep dish pie shell and bake at 400F for 10 minutes, reduce heat to 350F and bake for 50-60 additional minutes. Pie should turn a nice golden brown and a knife inserted should come out clean. I think it is absolutely best when it is just still warm. (Not too hot, or it will be like napalm.)."
57,Black Bean Salsa,"black beans, tomatoes, roma tomatoes, green onions, garlic, cilantro, white pepper",Combine all ingredients in a bowl. Serve with tortilla chips.
58,Low-Fat Burgundy Beef & Vegetable Stew,"beef eye round, dried thyme leaves, salt, pepper, ready-to-serve beef broth, Burgundy wine, garlic, cornstarch, frozen sugar snap peas","Trim fat from beef, cut into 1-inch pieces. In Dutch oven, heat oil over medium high hunt until hot. Add beef (half at a time) and brown evenly, stirring occasionally. Pour off drippings. Season with thyme, salt and pepper. Stir in broth, wine and garlic. Bring to boil; reduce heat to low. Cover tightly and simmer 1 1/2 hours. Add carrots and onions. Cover and continue cooking 35 to 40 minutes or until beef and vegetables are tender. Bring beef stew to a boil over medium-high heat. Add cornstarch mixture; cook and stir 1 minute. Stir in sugar snap peas. Reduce heat to medium and cook 3 to 4 minutes or until peas are heated through."
59,Lou's Fabulous Bruschetta,"French baguette, butter, garlic powder, ricotta cheese, parmesan cheese, salt, tomatoes, olive oil, fresh basil leaves","Cut baguette into slices. Butter and then sprinkle garlic powder each piece, and bake till lightly golden brown. Mix garlic powder, Parmesan cheese, and salt in the ricotta cheese, till a lovely blended taste. Dice tomatoes in small cubes,   add Olive Oil, and  small strips of fresh basil leaves, cut into thin strips. Spread the ricotta mixture, generously on the cooled garlic bread slices. Top with tomato mixture and bake at 350F for 10 minutes. Enjoy!"
60,Blueberry Dessert,"Bisquick baking mix, sugar, butter, margarine, eggs, frozen blueberries, Bisquick baking mix, sugar, firm butter, margarine","Heat oven to 400 degrees. Mix 2 cups baking mix, 1/2 cup sugar, 1/2 cup butter  and egg yolks until crumbly. Press into ungreased rectangular pan, 13x9x2\, , , , , , , , "
61,Brownie Heart Cake,"brown sugar, butter, vanilla, eggs, all-purpose flour, salt, white chocolate, butter, sour cream","CAKE:  Grease 5 cup heart shaped pan; dust with unsweetened cocoa, powder and set aside.  In bowl, blend together brown sugar, butter and vanilla; add eggs, one at a time, beating well with wooden spoon after each addition. Sift together flour, cocoa and salt; add all at once to creamed mixture, mixing just until blended. Stir in nuts; spread in prepared pan. Loosely cover tip of heart with foil to prevent from drying out. Bake in 350xF oven for 35 to 40 minutes or until just barley firm to the touch. Let cool in pan for 10 minutes; turn out onto rack and let cool completely. FROSTING:  In top of double boiler over hot, not boiling, water, melt white chocolate with butter. (Alternatively, in microwaveable dish, microwave at Medium/50% for 1 to 2 minutes or until softened.)  Remove from heat and let cool slightly; stir in sour cream until smooth and blended. Refrigerate for 10 minutes; spread smoothly over sides then top of cooled cake. GARNISH:  Sprinkle cocoa in attractive pattern on top of cake. Arrange almonds around top edge."
62,"Black Bean, Corn, and Tomato Salad","fresh lemon juice, olive oil, black beans, fresh corn kernels, plum tomato, scallion, fresh parsley leaves, cayenne, boston lettuce leaves","In a bowl whisk together lemon juice, oil, and salt to taste. Stir in remaining ingredients, except lettuce leaves, with salt and black pepper to taste. Let salad stand, stirring once or twice, 15 minutes for flavors to develop. Line 2 plates with lettuce and divide salad between them."
63,Cabbage and Sausage Soup,"olive oil, Italian sausage, garlic, red pepper flakes, salt, black pepper, sun-dried tomato, white wine, cabbage","In a medium stockpot or Dutch oven heat olive oil, over high heat, and saute sausage for 3 minutes. Remove with a slotted spoon and set aside. Add onion, garlic, red pepper flakes, salt, pepper and sun dried tomatoes. Reduce heat to medium high and saute until onions are soft, about 3 - 5 minutes. Stir in the wine and cook 2 minutes. Add cabbage, reserved sausage and chicken stock. bring to a boil, reduce heat and simmer 15 minutes. - - - - - - - - - - - - - - - - - - NOTES :    To serve, place a piece of garlic toast in the bottom of the bowl and ladle soup over top."
64,Almond Pound Cake,"butter, almond paste, sugar, eggs, flour, cornstarch, baking powder, milk","Preheat oven to 350 degrees Fahrenheit. Cream butter and almond paste until fluffy. Add sugar, gradually add eggs, one at a time.  Mix together flour, cornstarch and baking powder, then add flour mixture and milk alternately. Bake in greased 9x5 loaf pan for 1 hour. Double recipe for a bundt pan and bake 75 minute. Cool 10 min in pan, then turn out and cool completely. Serve with powdered sugar, orange glaze or chocolate glaze."
66,Black Coffee Barbecue Sauce,"brewed coffee, ketchup, red wine vinegar, dark brown sugar, onion, garlic cloves, dark molasses, hot dry mustard, Worcestershire sauce, cumin, chili powder","Combine all ingredients in a saucepan and simmer over low heat for 20  minutes. Cool, then puree in a blender or food processor until smooth. This can be stored in the refrigerator for up to 2 weeks in a covered  container."
67,Bourbon Pecan Pound Cake,"butter, sugar, eggs, cake flour, baking powder, salt, nutmeg, sour cream, Bourbon, pecans, powdered sugar, Bourbon, water","Combine butter and sugar in bowl of electric mixer and blend until light and fluffy. Add eggs one at a time, beating constantly. Sift together flour, baking powder, salt, and nutmeg. Blend sour cream and bourbon. Alternately add flour and sour cream mixture to batter. Add pecans. Grease bottom and sides of tube or bunt pan. Pour in batter and bake at 325 degrees for about one hour and 30 minutes. Test cake frequently after first hour and 15 minutes for doneness. Let cake cool in pan for 15 minutes before turning out on wire rack. To prepare glaze, combine sugar and bourbon. Stir while gradually adding water. Add only enough water to make a pourable glaze without allowing mixture to become too thin. Pour glaze over top of warm cake and let dribble down sides."
68,Chicago Style Pizza,"dry yeast, water, sugar, salt, flour, cornmeal, mozzarella cheese, oregano, pepper, green pepper, mushroom, parmesan cheese","For crust, dissolve yeast in water. Add sugar,  salt and 2 tablespoons oil. Stir in flour to make a soft  dough. Turn out onto well floured board. Knead about 3  minutes. Put in greased bowl; cover and let rise in warm place  about 1 1/2  hours. Brush a 14-inch deep-dish pizza pan with  2 tablespoons oil; sprinkle  with corn meal. Punch dough down;  press in bottom of pan. Let rise 30 minutes. Punch down  again, lightly coat with olive oil. Cook at 450 degrees for  about  10 minutes until set. (Punch down dough after 5 minutes or so.) Arrange cheese  over dough. Place pepperoni,  olives, peppers and mushrooms over cheese. Spread  pizza sauce. Sprinkle with oregano, crushed pepper and  Parmesan cheese. Place  pizza in oven and cook at 450 degrees  until cheese is melted and crust is  golden (about 20 to 25 minutes). Makes  8 slices."
69,Chicha Peruana,"piloncillo cone, Nottingham dry yeast","Procedure: Mash for 90 minutes at 160°F. We did two 1.5 gallon batches, each spiced differently (one with curacao/coriander, the other with allspice/cinammon). We would rather have used a higher proportion of jora, but on brewday we discovered that our ability to determine the weight of things is seriously imparied. Instead of the 4.5lbs we thought we had, we found we had only 3lbs of jora. Rather than readjust (the OG would have been more appropriate at ~1.045 in any case), we added more sugar, a course of action that was inspired by homebrewed Weizen as much as anything else. The result is a very tasty beverage, pretty big all the way around on corn, and yet the flavor is quite subtle. Be warned that chicha is at its peak 2 to 4 days after pitching while it still retains some sweetness and body. Once the chicha ferments out, you are left with a fairly bland beverage that reminds me of iced tea more than anything else. If I'd been thinking (chicha lends itself to gulping), I would have kegged the stuff on the third day after pitching and stuck it in the fridge. While we took the trouble to grow our own (blue) corn, I see no reason why one could not start with good ol' yellow corn from the grocery store (domestic 20-row?) In fact, I plan on doing this if only to see what kind of chicha it makes. Specifics:  OG: 1.055  FG: 1.012 Types of Chicha So far, there appear to me to be several main ways in which chicha de jora is made. These range in difficulty from trivial to a process almost indentical to what barley-beer homebrewers are familiar with. Facil (easy) - Corn is mixed with water and sugar and allowed to sit for several days until the corn begins to germinate. The sugar ferments and the corn, lending nothing fermentable, adds flavor. Abbreviated - The jora is mashed but the mash is ultimately brought to a boil, allowed to settle, and the clear liquid, or upi, now finished chicha, is drawn off. Traditional - Similiar to the Abbreviated method, but the jora is mashed and the mash is allowed to settle. The upi is drawn off the mash into a separate vessel for boiling. Modern - The ground jora is mashed and lautered through some sort of filtering device such as a manifold or false bottom. This process is helped by the inclusion of some crushed malted barley (Barley Assisted). The first is apparently how much chicha is made in people's kitchens. Bill Ridgely describes most of the others in his articles. Also note that the methods that include mashing use a batch sparge. That is, the sweet liquor (upi) is merely drained from the mash and there are no continuous additions of sparge water to the surface of the mash. Certainly sparging can be performed if desired, but it is neither traditional nor necessary (corn kernels have no husk and therefore do not form a filterbed). Chicha is traditionally allowed to spontaneously ferment. For the last type (Modern), George Duarte suggests that ground, unmalted corn could be mixed with a small amount of crushed 2-row malted barley and boiled for 20 minutes or so to gelatinize the starch in the corn. This gooey mass would then be added to more water and barley malt and mashed as per 'normal' homebrew procedures. This could probably be sparged as usual."
70,Buckwheat Bread,"eggs, water, buckwheat flour, light brown sugar, whole wheat flour, buttermilk, salt, caraway seed, all-purpose flour","Proof the yeast in the lukewarm water with the sugar. After you get a yeast sponge add the buttermilk (room temperature), salt, eggs and the three different kinds of flour and caraway seeds. Mix well. Take the dough out onto a lightly floured work surface, kneading until smooth. Place the dough in a large buttered bowl, cover with a towel and let stand in a warm place to rise until doubled in bulk. This will take from 1~/2 to 2 hours. Take the dough out and punch it down a couple of times. Knead and shape the dough into a loaf and place in a buttered loaf pan (9~ by 5~). Let stand in a warm place, covered with a towel, to rise for about 1 hour or until doubled in size. Preheat the oven to 400 degrees. Brush the bread with a little melted butter and bake in the oven for about 30 minutes or until light brown and the bread sounds hollow when tapped with your finger. Cool wrapped in a towel."
71,Chicken and Dumplings,"chicken, carrot, celery, onion, chicken bouillon cubes, butter, flour, sherry wine, lemon juice, salt, baking powder, salt, shortening, milk, peas","Place chickens in large saucepan, cover with water and bring to a boil. Simmer until chickens are tender. Remove chickens from pan and set aside. Remove backbones. Add chopped carrot, celery and onion and simmer 30 minutes. Add chicken stock base and remove from heat. Strain and reserve stock. Melt butter and stir in 1 cup flour until smooth. Add to straine reserved chicken stock. Simmer 5 minutes. Add sherry and lemon juice, salt to taste and, if desired, food color. For dumplings, combine 1 1/2 cups flour, baking powder and 1/4 tsp salt in mixing bowl. Cut in shortening until mixture resembles cornmeal. Stir in milk until just blended. Place about 1/2 inch water in saucepan with wire rack that comes 2 to 3 inches above water line. Cover rack with lightly oiled waxed paper, oiled side up. With water gently simmering, drop dumplings by tablespoon onto waxed paper, leaving room in between for expansion. Steam 8 minutes, uncovered, then cover and steam 7 minutes longer. Meanwhile, remove skin from cooked chicken and bone, if desired. Cut in large pieces. Place chicken pieces in casserole. Arrange dumplings on chicken. Cover with sauce and sprinkle with peas for color."
72,Brownie Pudding,"all-purpose flour, granulated sugar, baking powder, salt, milk, vanilla, butter, brown sugar, boiling water","Preheat oven to 350 degrees. Combine flour, granulated sugar, 1/4  cup cocoa,  baking powder and salt in a bowl. Stir in milk, butter and vanilla  until  smooth. Stir in chocolate chips. Spread in ungreased shallow 1  1/2 quart  casserole.  Sprinkle brown sugar and 1/4 cup cocoa on top. Place in oven, pour  boiling water over top. Bake 35 minutes, cool 10 minutes before  serving. Serve with ice cream if desired."
73,Bratwurst,"milk, fine salt, white pepper, mace, ginger, nutmeg, powdered soy protein concentrate, eggs, fresh parsley","Grind the veal and pork with a 3/8 in.  (0.95 cm) plate. Place the ground meat into a mixing tub and add all remaining ingredients. Mix very thoroughly. Return to the cooler and chill at least 1 hour. Stuff the prepared casings.Tie into 4 in.  (10 cm) links. Poach the sausages in good veal stock for the best flavor. Cover with the cold stock and heat gently. Maintain a temperature of no more than 160 F (710C). When the sausages reach an internal temperature of 140 F (60 C), remove from the stock. Cool quickly. Dry wrap, and refrigerate for use."
74,Brownie Cheesecake Torte,"instant coffee granules, cinnamon, sugar, sugar, all-purpose flour, vanilla extract, fat free cream cheese, skim milk, fresh raspberry","Preheat oven to 425 degrees F. Combine first 4 ingredients in a bowl. Firmly press mixture into bottom and 1 inch up sides of a 9-inch springform pan coated with cooking spray. Set aside. Combine 1/2 cup sugar, flour, vanilla, and cheeses;  beat at medium speed of a mixer until well-blended. Add egg whites and 2 tablespoons milk; beat well. Combine 1/2 cup batter, 1 tablespoon milk, 2 tablespoons sugar, and cocoa in a small bowl; stir well. Spoon remaining batter alternately with cocoa mixture into prepared crust. Swirl together using the tip of a knife.  Bake at 425 degrees for 10 minutes. Reduce oven temperature to 250 degrees; bake 45 minutes or until almost set. Cool completely on a wire rack. Garnish with chocolate syrup and fresh raspberries, if desired."
75,California Chilled Salsa,"tomatoes, celery, onion, green pepper, salt, cider vinegar, sugar, green chili pepper",* Also delicious made with red sweet peppers or a combination of red and  green for nice color. Combine all ingredients; if finer texture is desired may be put  through food grinder using fine blade. Cover tightly and chill overnight. Serving Ideas : Serve cold as a relish with meat. Kim C.
76,Alfredo Sauce,"sweet butter, heavy cream, parmesan cheese, salt, pepper","Place butter in microwave safe pot and heat on high for 30 seconds or until melted. Add cream and warm on high for approximately 1 minute. Add Parmesan cheese and warm until cheese melts. Add salt and pepper to taste. (If serving with shrimp, you might not need much salt.). Pour over 4 servings of warm noodles (I use angel hair) and toss to coat. Serve immediately. Notes: I serve it with cubed, grilled or broiled chicken breast mixed in with the noodles or shrimp. Add a green salad and you have a complete meal. I have used margarine and canned Parmesan cheese and it worked fine."
78,Buttermilk Ranch Dressing,"garlic, salt, buttermilk, sour cream, lime juice, parsley, chives","Mash together garlic and salt to form a paste.  Remove to a small bowl. Whisk in buttermilk sour cream, lime juice, parsley, chives, and salt and pepper. Taste  and adjust seasonings. Use immediately or cover and refrigerate."
79,Brisket with Sauerkraut and Applesauce,"stewed tomatoes, sauerkraut, applesauce, dark brown sugar, beef brisket","In a large cook pot place undrained tomatoes, sauerkraut with applesauce and  brown sugar. Bring to a boil. Lower heat and add brisket so that mixture can  cover some of brisket.Cover and simmer until meat is fork tender ( about 3 hours ); spooning sauce over brisket intermittently. When meat is done, place brisket  on serving platter. Remove excess fat from pot. Season sauce to taste ( more  sugar, spices etc. ). Thicken if desired with a bit of cornstarch mixed with  some cold water and add to sauce and cook and stir till thickened. For best  serving, prepare brisket ahead of time, let cool completely, slice meat, cover  with sauce and refrigerate till needed ( may be frozen ). Gently reheat and  serve slices of meat and sauce."
80,Bread Pudding,"milk, eggs, sugar, salt, real vanilla, unsalted butter","Mix bread and milk together. Add the 2 eggs and the 2 egg yolks with 5 tbsp of sugar and salt. Add to the milk mixture will be the vanilla and butter. Mix well and pour into a slightly greased 1 1/2 quart casserole. Bake in a pie pan of water at 350° oven for 45 minutes. For the Meringue topping: Beat the egg whites until stiff and add the 4 tbsp of sugar to it. Pour in slowly, Top the already baked pudding with it--making swirly peaks for decorations. Bake again at 300° until a golden brown."
